feature,coefficient
perfmode nodes,1212.7889533252412
nodes errpreset,1084.2608230593314
perfmode^2,707.0952562577651
perfmode errpreset,687.5883134257587
perfmode^3,594.503718856433
log_nodes,567.4551128369648
perfmode^2 nodes,491.40523786045253
errpreset^3,465.32706370929924
perfmode nodes^2,440.8505400245387
perfmode nodes errpreset,416.572182656096
perfmode,413.59513517357794
nodes^2 errpreset,333.93216120783114
errpreset,309.56521128180225
perfmode^2 errpreset,303.98536142558294
nodes^3,218.67083155073973
nodes,218.56044748635304
log_errpreset,112.76305928574315
log_perfmode,49.793615709280765
errpreset^2,37.58675980703499
perfmode errpreset^2,8.963833759695964
nodes errpreset^2,7.731672672904594
nodes^2,4.911780787839837
