transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nthreads,cpu_util,nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
4633.61,632.0,35,1216.2,1,99.5,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1931.92,634.0,31,618.9,1,99.4,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1367.6299999999999,636.0,31,989.6,1,99.4,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
8789.199999999999,642.0,36,2432.0,8,522,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
6100.150000000001,643.0,24,1186.2,8,542,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1140.26,621.0,12,721.5,1,99.5,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
446.127,540.0,32,593.1,1,99.4,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
264.991,242.0,33,337.9,1,99.4,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
2038.6799999999998,648.0,36,1496.6,8,544,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1060.95,267.0,16,1093.2,8,537,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
2635.36,632.0,33,771.3,1,99.5,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
1355.01,547.0,35,1892.6,1,99.5,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
825.912,546.0,11,238.8,1,99.4,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
5006.5,644.0,36,1718.9,8,549,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3416.69,645.0,36,1835.3,8,539,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
2928.5299999999997,523.0,36,1285.3,1,94.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1405.1,639.0,3,201.8,1,93,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
984.954,589.0,3,202.9,1,93.2,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
13786.099999999999,479.0,3,108.2,1,99.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
5588.9,477.0,29,2003.1,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
3869.58,480.0,3,103.3,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
727.796,536.0,1,101.8,1,91.1,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
325.408,527.0,25,277.7,1,92.9,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
