feature,coefficient
nodes,7.607537712823362e+16
nodes^3,3.0316557353320064e+16
log_nodes,2.8505874117091132e+16
perfmode,1.2710232342535482e+16
perfmode nodes^2,9273887101057798.0
nodes^2,8631694999953040.0
errpreset^3,6663896684002412.0
nodes^2 errpreset,4980899084319131.0
errpreset,4326805153492882.0
perfmode nodes,2117012303417699.0
log_perfmode,1947699818123226.8
perfmode^3,1860187016934576.0
log_errpreset,1484642490539481.5
nodes errpreset,1137023184420335.0
perfmode^2,632182784726865.1
errpreset^2,401056073040496.1
perfmode^2 nodes,805.4211856542967
perfmode errpreset,690.5762017700698
perfmode nodes errpreset,491.93304350824707
perfmode^2 errpreset,288.1274731828095
nodes errpreset^2,149.98464432539106
perfmode errpreset^2,78.99164145996912
