perfmode,transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
Spectre,5737.82,226,32,441.8,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1808.03,244,30,384.5,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,1067.23,142,26,363.4,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,4330.91,245,30,641,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,1434.95,139,25,369.9,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,401.514,137,21,349.2,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,242.792,68.2,19,324.7,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1685.81,249,32,633.7,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,806.773,76.4,32,668,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,3333.84,99,32,416,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,1370.51,102,25,337.7,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,766.526,139,26,356.3,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,4474.11,235,32,743.6,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,2602.46,221,32,611.1,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,4633.61,632,35,1216.2,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1931.92,634,31,618.9,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,1367.63,636,31,989.6,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,8789.2,642,36,2432,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,6100.15,643,24,1186.2,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,1140.26,621,12,721.5,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,446.127,540,32,593.1,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,264.991,242,33,337.9,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,2038.68,648,36,1496.6,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,1060.95,267,16,1093.2,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,2635.36,632,33,771.3,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,1355.01,547,35,1892.6,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,825.912,546,11,238.8,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,5006.5,644,36,1718.9,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,3416.69,645,36,1835.3,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,2928.53,523,36,1285.3,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1405.1,639,3,201.8,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,984.954,589,3,202.9,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,13786.1,479,3,108.2,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,5588.9,477,29,2003.1,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
